Call_Id,Agent,Topic,Resolved,Speed_of_answer_in_seconds,Satisfaction_rating,Datetime,Answered,TalkDurationSeconds
ID0072,Stewart,Admin Support,1,113.0,5.0,2021-01-02 11:08:10,1,351.0
ID0073,Greg,Payment related,0,10.0,5.0,2021-01-02 11:26:53,1,139.0
ID0074,Becky,Contract related,1,122.0,1.0,2021-01-02 11:26:53,1,293.0
ID0075,Stewart,Technical Support,0,125.0,3.0,2021-01-02 11:42:43,1,98.0
ID0076,Diane,Admin Support,0,,,2021-01-02 11:42:43,0,
ID0077,Martha,Technical Support,1,33.0,2.0,2021-01-02 11:47:02,1,398.0
ID0078,Dan,Contract related,1,51.0,2.0,2021-01-02 11:47:02,1,382.0
ID0079,Becky,Contract related,1,58.0,3.0,2021-01-02 11:54:14,1,208.0
ID0080,Dan,Admin Support,1,121.0,5.0,2021-01-02 11:54:14,1,287.0
ID0081,Diane,Admin Support,1,118.0,4.0,2021-01-02 12:00:00,1,126.0
ID0082,Greg,Payment related,1,52.0,4.0,2021-01-02 12:00:00,1,416.0
ID0083,Stewart,Admin Support,1,55.0,3.0,2021-01-02 12:20:10,1,284.0
ID0084,Dan,Contract related,1,68.0,4.0,2021-01-02 12:20:10,1,359.0
ID0085,Becky,Technical Support,1,106.0,5.0,2021-01-02 12:41:46,1,262.0
ID0086,Martha,Technical Support,1,32.0,3.0,2021-01-02 12:41:46,1,276.0
ID0087,Jim,Payment related,0,,,2021-01-02 12:44:38,0,
ID0088,Martha,Admin Support,0,45.0,4.0,2021-01-02 12:44:38,1,86.0
ID0089,Joe,Technical Support,1,119.0,4.0,2021-01-02 12:59:02,1,212.0
ID0090,Dan,Streaming,0,,,2021-01-02 12:59:02,0,
ID0091,Jim,Contract related,1,46.0,1.0,2021-01-02 13:03:22,1,341.0
ID0092,Stewart,Technical Support,1,101.0,3.0,2021-01-02 13:03:22,1,88.0
ID0093,Jim,Technical Support,1,56.0,3.0,2021-01-02 13:04:48,1,172.0
ID0094,Becky,Technical Support,1,80.0,3.0,2021-01-02 13:04:48,1,53.0
ID0095,Diane,Streaming,1,24.0,3.0,2021-01-02 13:13:26,1,96.0
ID0096,Stewart,Payment related,1,113.0,2.0,2021-01-02 13:13:26,1,234.0
ID0097,Greg,Contract related,1,19.0,4.0,2021-01-02 13:20:38,1,123.0
ID0098,Martha,Streaming,0,,,2021-01-02 13:20:38,0,
ID0099,Dan,Contract related,1,45.0,3.0,2021-01-02 13:20:38,1,397.0
ID0100,Diane,Technical Support,1,95.0,1.0,2021-01-02 13:20:38,1,311.0
ID0101,Becky,Technical Support,0,,,2021-01-02 13:45:07,0,
ID0102,Martha,Technical Support,0,79.0,1.0,2021-01-02 13:45:07,1,331.0
ID0103,Diane,Payment related,1,22.0,2.0,2021-01-02 13:49:26,1,236.0
ID0104,Martha,Contract related,1,38.0,1.0,2021-01-02 13:49:26,1,396.0
ID0105,Becky,Technical Support,1,112.0,5.0,2021-01-02 13:53:46,1,205.0
ID0106,Becky,Payment related,1,65.0,3.0,2021-01-02 13:53:46,1,297.0
ID0107,Joe,Streaming,0,,,2021-01-02 14:22:34,0,
ID0108,Becky,Contract related,0,55.0,1.0,2021-01-02 14:22:34,1,152.0
ID0109,Stewart,Admin Support,0,,,2021-01-02 14:52:48,0,
ID0110,Joe,Streaming,1,19.0,2.0,2021-01-02 14:52:48,1,158.0
ID0111,Becky,Technical Support,1,53.0,3.0,2021-01-02 15:10:05,1,56.0
ID0112,Diane,Technical Support,1,24.0,5.0,2021-01-02 15:10:05,1,366.0
ID0113,Martha,Streaming,1,73.0,3.0,2021-01-02 15:36:00,1,361.0
ID0114,Stewart,Technical Support,0,,,2021-01-02 15:36:00,0,
ID0115,Jim,Technical Support,1,55.0,5.0,2021-01-02 17:36:58,1,347.0
ID0116,Greg,Payment related,0,,,2021-01-02 17:36:58,0,
ID0117,Diane,Streaming,0,,,2021-01-02 17:47:02,0,
ID0118,Martha,Streaming,1,23.0,4.0,2021-01-02 17:47:02,1,318.0
ID0119,Dan,Payment related,0,124.0,5.0,2021-01-03 09:10:05,1,143.0
ID0120,Dan,Contract related,0,,,2021-01-03 09:10:05,0,
ID0121,Dan,Technical Support,1,103.0,4.0,2021-01-03 09:47:31,1,61.0
ID0122,Martha,Contract related,1,69.0,4.0,2021-01-03 09:47:31,1,225.0
ID0123,Joe,Streaming,1,78.0,3.0,2021-01-03 10:29:17,1,72.0
ID0124,Martha,Technical Support,1,78.0,5.0,2021-01-03 10:29:17,1,206.0
ID0125,Martha,Technical Support,0,,,2021-01-03 10:37:55,0,
ID0126,Diane,Payment related,1,44.0,4.0,2021-01-03 10:37:55,1,338.0
ID0127,Martha,Admin Support,1,35.0,4.0,2021-01-03 10:52:19,1,166.0
ID0128,Becky,Admin Support,1,102.0,4.0,2021-01-03 10:52:19,1,326.0
ID0129,Jim,Contract related,1,99.0,3.0,2021-01-03 10:52:19,1,351.0
ID0130,Jim,Admin Support,1,29.0,3.0,2021-01-03 10:52:19,1,249.0
ID0131,Becky,Admin Support,0,42.0,5.0,2021-01-03 10:58:05,1,59.0
ID0132,Diane,Payment related,1,113.0,4.0,2021-01-03 10:58:05,1,340.0
ID0133,Dan,Admin Support,1,124.0,2.0,2021-01-03 11:02:24,1,53.0
ID0134,Jim,Technical Support,0,,,2021-01-03 11:02:24,0,
ID0135,Dan,Payment related,1,55.0,1.0,2021-01-03 11:03:50,1,133.0
ID0136,Greg,Technical Support,0,105.0,3.0,2021-01-03 11:03:50,1,359.0
ID0137,Stewart,Contract related,0,112.0,5.0,2021-01-03 11:06:43,1,192.0
ID0138,Martha,Contract related,0,,,2021-01-03 11:06:43,0,
ID0139,Becky,Technical Support,1,43.0,5.0,2021-01-03 11:16:48,1,380.0
ID0140,Joe,Payment related,1,20.0,3.0,2021-01-03 11:16:48,1,104.0
ID0141,Greg,Technical Support,1,84.0,5.0,2021-01-03 11:26:53,1,103.0
ID0142,Jim,Contract related,1,20.0,4.0,2021-01-03 11:26:53,1,164.0
ID0143,Greg,Streaming,1,101.0,3.0,2021-01-03 11:38:24,1,136.0
ID0144,Diane,Technical Support,1,31.0,5.0,2021-01-03 11:38:24,1,175.0
ID0145,Jim,Contract related,1,56.0,5.0,2021-01-03 11:52:48,1,249.0
ID0146,Joe,Contract related,0,,,2021-01-03 11:52:48,0,
ID0147,Joe,Payment related,1,77.0,5.0,2021-01-03 11:55:41,1,87.0
ID0148,Jim,Payment related,1,46.0,4.0,2021-01-03 11:55:41,1,50.0
ID0149,Stewart,Admin Support,1,88.0,3.0,2021-01-03 11:58:34,1,266.0
ID0150,Diane,Payment related,1,88.0,1.0,2021-01-03 11:58:34,1,58.0
ID0151,Joe,Technical Support,1,124.0,1.0,2021-01-03 12:33:07,1,363.0
ID0152,Stewart,Contract related,0,,,2021-01-03 12:33:07,0,
ID0153,Martha,Payment related,0,52.0,4.0,2021-01-03 12:54:43,1,419.0
ID0154,Joe,Admin Support,1,67.0,5.0,2021-01-03 12:54:43,1,370.0
ID0155,Martha,Payment related,1,119.0,3.0,2021-01-03 13:12:00,1,256.0
ID0156,Dan,Admin Support,1,98.0,2.0,2021-01-03 13:12:00,1,277.0
ID0157,Jim,Technical Support,0,,,2021-01-03 13:14:53,0,
ID0158,Joe,Technical Support,1,118.0,3.0,2021-01-03 13:14:53,1,258.0
ID0159,Becky,Admin Support,1,123.0,3.0,2021-01-03 13:27:50,1,75.0
ID0160,Becky,Streaming,0,86.0,1.0,2021-01-03 13:27:50,1,337.0
ID0161,Greg,Admin Support,1,104.0,3.0,2021-01-03 13:35:02,1,129.0
ID0162,Greg,Payment related,1,69.0,2.0,2021-01-03 13:35:02,1,93.0
ID0163,Dan,Contract related,1,113.0,1.0,2021-01-03 13:58:05,1,158.0
ID0164,Joe,Streaming,1,88.0,5.0,2021-01-03 13:58:05,1,203.0
ID0165,Joe,Streaming,0,,,2021-01-03 13:58:05,0,
ID0166,Stewart,Payment related,0,,,2021-01-03 13:58:05,0,
ID0167,Joe,Payment related,1,84.0,2.0,2021-01-03 14:03:50,1,58.0
ID0168,Diane,Streaming,1,113.0,3.0,2021-01-03 14:03:50,1,82.0
ID0169,Joe,Streaming,1,38.0,4.0,2021-01-03 14:47:02,1,331.0
ID0170,Dan,Streaming,1,14.0,4.0,2021-01-03 14:47:02,1,374.0
ID0171,Martha,Streaming,0,25.0,4.0,2021-01-03 15:34:34,1,332.0
ID0172,Dan,Contract related,0,,,2021-01-03 15:34:34,0,
ID0173,Diane,Technical Support,0,,,2021-01-03 16:29:17,0,
ID0174,Joe,Payment related,1,117.0,4.0,2021-01-03 16:29:17,1,127.0
ID0175,Stewart,Payment related,0,57.0,2.0,2021-01-03 17:31:12,1,361.0
ID0176,Martha,Technical Support,1,119.0,5.0,2021-01-03 17:31:12,1,319.0
ID0177,Martha,Contract related,0,,,2021-01-04 09:01:26,0,
ID0178,Diane,Streaming,1,93.0,5.0,2021-01-04 09:01:26,1,392.0
ID0179,Martha,Payment related,1,86.0,4.0,2021-01-04 09:31:41,1,64.0
ID0180,Joe,Streaming,0,,,2021-01-04 09:31:41,0,
ID0181,Dan,Contract related,1,92.0,3.0,2021-01-04 09:43:12,1,179.0
ID0182,Greg,Streaming,0,,,2021-01-04 09:43:12,0,
ID0183,Martha,Technical Support,1,106.0,3.0,2021-01-04 10:03:22,1,342.0
ID0184,Stewart,Technical Support,1,67.0,3.0,2021-01-04 10:03:22,1,164.0
ID0185,Jim,Streaming,1,90.0,3.0,2021-01-04 10:27:50,1,257.0
ID0186,Diane,Technical Support,0,,,2021-01-04 10:27:50,0,
ID0187,Becky,Streaming,0,50.0,4.0,2021-01-04 11:09:36,1,229.0
ID0188,Diane,Admin Support,0,89.0,3.0,2021-01-04 11:09:36,1,256.0
ID0189,Jim,Admin Support,1,74.0,3.0,2021-01-04 11:13:55,1,378.0
ID0190,Martha,Payment related,1,63.0,2.0,2021-01-04 11:13:55,1,142.0
ID0191,Becky,Contract related,1,45.0,5.0,2021-01-04 11:18:14,1,391.0
ID0192,Martha,Technical Support,0,,,2021-01-04 11:18:14,0,
ID0193,Dan,Payment related,1,31.0,2.0,2021-01-04 11:22:34,1,403.0
ID0194,Joe,Streaming,0,,,2021-01-04 11:22:34,0,
ID0195,Joe,Contract related,1,43.0,5.0,2021-01-04 11:32:38,1,224.0
ID0196,Martha,Streaming,1,50.0,4.0,2021-01-04 11:32:38,1,342.0
ID0197,Dan,Technical Support,1,48.0,4.0,2021-01-04 12:02:53,1,312.0
ID0198,Martha,Admin Support,1,113.0,5.0,2021-01-04 12:02:53,1,164.0
ID0199,Jim,Streaming,0,,,2021-01-04 12:15:50,0,
ID0200,Joe,Technical Support,1,103.0,5.0,2021-01-04 12:15:50,1,400.0
ID0201,Becky,Technical Support,0,95.0,3.0,2021-01-04 12:15:50,1,267.0
ID0202,Joe,Admin Support,1,30.0,1.0,2021-01-04 12:15:50,1,304.0
ID0203,Greg,Admin Support,1,124.0,3.0,2021-01-04 13:32:10,1,199.0
ID0204,Diane,Admin Support,1,17.0,5.0,2021-01-04 13:32:10,1,123.0
ID0205,Stewart,Streaming,1,113.0,3.0,2021-01-04 13:45:07,1,360.0
ID0206,Jim,Technical Support,1,25.0,5.0,2021-01-04 13:45:07,1,147.0
ID0207,Jim,Admin Support,1,52.0,5.0,2021-01-04 13:56:38,1,262.0
ID0208,Dan,Admin Support,1,28.0,5.0,2021-01-04 13:56:38,1,164.0
ID0209,Greg,Technical Support,1,69.0,3.0,2021-01-04 14:25:26,1,185.0
ID0210,Martha,Streaming,1,106.0,3.0,2021-01-04 14:25:26,1,232.0
ID0211,Jim,Technical Support,0,,,2021-01-04 14:28:19,0,
ID0212,Joe,Payment related,1,26.0,3.0,2021-01-04 14:28:19,1,299.0
ID0213,Joe,Payment related,1,53.0,4.0,2021-01-04 14:31:12,1,355.0
ID0214,Martha,Technical Support,1,77.0,2.0,2021-01-04 14:31:12,1,250.0
ID0215,Jim,Contract related,1,45.0,3.0,2021-01-04 14:49:55,1,182.0
ID0216,Becky,Technical Support,0,,,2021-01-04 14:49:55,0,
ID0217,Greg,Streaming,1,56.0,4.0,2021-01-04 15:23:02,1,256.0
ID0218,Stewart,Admin Support,1,13.0,2.0,2021-01-04 15:23:02,1,236.0
ID0219,Stewart,Admin Support,1,120.0,5.0,2021-01-04 15:48:58,1,410.0
ID0220,Diane,Payment related,1,22.0,1.0,2021-01-04 15:48:58,1,50.0
ID0221,Martha,Payment related,1,81.0,4.0,2021-01-04 16:48:00,1,201.0
ID0222,Jim,Streaming,0,,,2021-01-04 16:48:00,0,
ID0223,Martha,Contract related,1,71.0,2.0,2021-01-04 16:49:26,1,48.0
ID0224,Stewart,Payment related,1,75.0,4.0,2021-01-04 16:49:26,1,93.0
ID0225,Martha,Technical Support,1,77.0,4.0,2021-01-04 16:49:26,1,162.0
ID0226,Joe,Streaming,1,88.0,4.0,2021-01-04 16:49:26,1,387.0
ID0227,Stewart,Admin Support,1,82.0,2.0,2021-01-04 17:35:31,1,185.0
ID0228,Jim,Technical Support,1,110.0,3.0,2021-01-04 17:35:31,1,390.0
ID0229,Martha,Admin Support,0,70.0,3.0,2021-01-04 17:39:50,1,92.0
ID0230,Becky,Admin Support,1,117.0,3.0,2021-01-04 17:39:50,1,220.0
ID0231,Joe,Streaming,1,18.0,3.0,2021-01-05 09:08:38,1,50.0
ID0232,Joe,Streaming,1,113.0,4.0,2021-01-05 09:08:38,1,156.0
ID0233,Stewart,Contract related,0,68.0,5.0,2021-01-05 09:25:55,1,209.0
ID0234,Greg,Payment related,1,67.0,5.0,2021-01-05 09:25:55,1,254.0
ID0235,Joe,Technical Support,1,36.0,5.0,2021-01-05 09:33:07,1,67.0
ID0236,Stewart,Streaming,0,,,2021-01-05 09:33:07,0,
ID0237,Becky,Technical Support,1,33.0,1.0,2021-01-05 10:00:29,1,150.0
ID0238,Dan,Contract related,1,113.0,5.0,2021-01-05 10:00:29,1,119.0
ID0239,Greg,Contract related,1,106.0,3.0,2021-01-05 10:49:26,1,379.0
ID0240,Joe,Streaming,1,23.0,3.0,2021-01-05 10:49:26,1,299.0
ID0241,Joe,Streaming,0,,,2021-01-05 11:31:12,0,
ID0242,Greg,Payment related,1,11.0,1.0,2021-01-05 11:31:12,1,282.0
ID0243,Greg,Contract related,1,73.0,5.0,2021-01-05 11:41:17,1,285.0
ID0244,Dan,Admin Support,1,109.0,5.0,2021-01-05 11:41:17,1,289.0
ID0245,Martha,Payment related,1,29.0,4.0,2021-01-05 11:49:55,1,254.0
ID0246,Dan,Streaming,0,,,2021-01-05 11:49:55,0,
ID0247,Becky,Admin Support,1,81.0,4.0,2021-01-05 11:49:55,1,74.0
ID0248,Greg,Contract related,1,59.0,1.0,2021-01-05 11:49:55,1,232.0
ID0249,Becky,Streaming,1,32.0,4.0,2021-01-05 12:00:00,1,389.0
ID0250,Martha,Admin Support,1,116.0,4.0,2021-01-05 12:00:00,1,42.0
ID0251,Diane,Payment related,1,92.0,5.0,2021-01-05 12:12:58,1,115.0
ID0252,Greg,Streaming,1,62.0,5.0,2021-01-05 12:12:58,1,362.0
ID0253,Joe,Payment related,1,83.0,5.0,2021-01-05 13:04:48,1,113.0
ID0254,Joe,Admin Support,1,71.0,3.0,2021-01-05 13:04:48,1,151.0
ID0255,Greg,Admin Support,0,74.0,3.0,2021-01-05 13:59:31,1,272.0
ID0256,Joe,Technical Support,1,96.0,4.0,2021-01-05 13:59:31,1,346.0
ID0257,Diane,Admin Support,1,110.0,1.0,2021-01-05 14:42:43,1,101.0
ID0258,Jim,Streaming,0,110.0,3.0,2021-01-05 14:42:43,1,158.0
ID0259,Dan,Technical Support,1,117.0,4.0,2021-01-05 15:18:43,1,183.0
ID0260,Becky,Admin Support,1,44.0,3.0,2021-01-05 15:18:43,1,353.0
ID0261,Diane,Contract related,1,47.0,4.0,2021-01-05 15:20:10,1,362.0
ID0262,Greg,Admin Support,1,97.0,3.0,2021-01-05 15:20:10,1,76.0
ID0263,Greg,Streaming,1,67.0,4.0,2021-01-05 15:31:41,1,159.0
ID0264,Diane,Streaming,1,72.0,3.0,2021-01-05 15:31:41,1,408.0
ID0265,Becky,Contract related,1,68.0,3.0,2021-01-05 15:31:41,1,261.0
ID0266,Joe,Payment related,1,98.0,5.0,2021-01-05 15:31:41,1,382.0
ID0267,Joe,Streaming,1,120.0,3.0,2021-01-05 15:37:26,1,56.0
ID0268,Dan,Payment related,1,13.0,1.0,2021-01-05 15:37:26,1,153.0
ID0269,Jim,Admin Support,1,95.0,5.0,2021-01-05 15:44:38,1,107.0
ID0270,Martha,Payment related,1,31.0,5.0,2021-01-05 15:44:38,1,42.0
ID0271,Dan,Streaming,1,113.0,3.0,2021-01-05 16:06:14,1,382.0
ID0272,Martha,Technical Support,1,116.0,3.0,2021-01-05 16:06:14,1,280.0
ID0273,Martha,Admin Support,0,94.0,5.0,2021-01-05 16:16:19,1,329.0
ID0274,Martha,Admin Support,0,51.0,4.0,2021-01-05 16:16:19,1,282.0
ID0275,Diane,Technical Support,1,60.0,4.0,2021-01-05 16:27:50,1,247.0
ID0276,Diane,Contract related,1,59.0,2.0,2021-01-05 16:27:50,1,364.0
ID0277,Stewart,Technical Support,0,,,2021-01-05 17:25:26,0,
ID0278,Greg,Payment related,0,,,2021-01-05 17:25:26,0,
ID0279,Joe,Technical Support,0,,,2021-01-05 17:29:46,0,
ID0280,Dan,Contract related,1,16.0,4.0,2021-01-05 17:29:46,1,213.0
ID0281,Diane,Technical Support,1,81.0,3.0,2021-01-05 17:38:24,1,111.0
ID0282,Joe,Streaming,1,65.0,1.0,2021-01-05 17:38:24,1,406.0
ID0283,Martha,Streaming,1,55.0,2.0,2021-01-05 17:44:10,1,184.0
ID0284,Martha,Technical Support,0,,,2021-01-05 17:44:10,0,
ID0285,Martha,Technical Support,1,31.0,4.0,2021-01-05 17:57:07,1,145.0
ID0286,Diane,Streaming,1,45.0,2.0,2021-01-05 17:57:07,1,313.0
ID0287,Greg,Technical Support,0,,,2021-01-06 09:08:38,0,
ID0288,Stewart,Payment related,1,43.0,5.0,2021-01-06 09:08:38,1,129.0
ID0289,Stewart,Technical Support,1,55.0,4.0,2021-01-06 10:06:14,1,356.0
ID0290,Stewart,Contract related,1,63.0,3.0,2021-01-06 10:06:14,1,139.0
ID0291,Joe,Payment related,0,,,2021-01-06 10:07:41,0,
ID0292,Jim,Contract related,1,122.0,1.0,2021-01-06 10:07:41,1,352.0
ID0293,Stewart,Contract related,1,71.0,4.0,2021-01-06 10:32:10,1,159.0
ID0294,Jim,Technical Support,1,54.0,4.0,2021-01-06 10:32:10,1,297.0
ID0295,Stewart,Streaming,1,74.0,4.0,2021-01-06 10:42:14,1,202.0
ID0296,Stewart,Admin Support,1,125.0,4.0,2021-01-06 10:42:14,1,287.0
ID0297,Dan,Payment related,1,110.0,3.0,2021-01-06 11:12:29,1,223.0
ID0298,Becky,Streaming,0,,,2021-01-06 11:12:29,0,
ID0299,Martha,Technical Support,1,74.0,5.0,2021-01-06 11:29:46,1,91.0
ID0300,Diane,Payment related,1,80.0,4.0,2021-01-06 11:29:46,1,267.0
ID0301,Dan,Payment related,0,,,2021-01-06 11:38:24,0,
ID0302,Joe,Contract related,1,110.0,2.0,2021-01-06 11:38:24,1,234.0
ID0303,Stewart,Payment related,1,26.0,3.0,2021-01-06 11:45:36,1,188.0
ID0304,Greg,Technical Support,0,,,2021-01-06 11:45:36,0,
ID0305,Joe,Admin Support,1,97.0,3.0,2021-01-06 12:05:46,1,107.0
ID0306,Dan,Admin Support,0,82.0,3.0,2021-01-06 12:05:46,1,340.0
ID0307,Becky,Streaming,0,102.0,5.0,2021-01-06 12:07:12,1,353.0
ID0308,Jim,Admin Support,1,120.0,5.0,2021-01-06 12:07:12,1,52.0
ID0309,Greg,Streaming,1,70.0,3.0,2021-01-06 13:30:43,1,319.0
ID0310,Diane,Admin Support,0,,,2021-01-06 13:30:43,0,
ID0311,Stewart,Payment related,1,122.0,3.0,2021-01-06 13:58:05,1,176.0
ID0312,Martha,Streaming,0,,,2021-01-06 13:58:05,0,
ID0313,Joe,Payment related,1,19.0,1.0,2021-01-06 14:03:50,1,55.0
ID0314,Greg,Payment related,1,71.0,4.0,2021-01-06 14:03:50,1,157.0
ID0315,Joe,Technical Support,1,24.0,1.0,2021-01-06 14:13:55,1,299.0
ID0316,Martha,Technical Support,1,67.0,1.0,2021-01-06 14:13:55,1,336.0
ID0317,Martha,Streaming,0,57.0,3.0,2021-01-06 14:32:38,1,254.0
ID0318,Diane,Streaming,1,108.0,4.0,2021-01-06 14:32:38,1,303.0
ID0319,Stewart,Payment related,1,99.0,4.0,2021-01-06 14:57:07,1,248.0
ID0320,Stewart,Payment related,1,56.0,1.0,2021-01-06 14:57:07,1,292.0
ID0321,Stewart,Payment related,1,121.0,3.0,2021-01-06 15:02:53,1,237.0
ID0322,Greg,Admin Support,0,,,2021-01-06 15:02:53,0,
ID0323,Joe,Contract related,1,72.0,1.0,2021-01-06 15:12:58,1,360.0
ID0324,Greg,Contract related,1,54.0,4.0,2021-01-06 15:12:58,1,375.0
ID0325,Martha,Admin Support,1,30.0,3.0,2021-01-06 16:17:46,1,276.0
ID0326,Jim,Payment related,1,44.0,2.0,2021-01-06 16:17:46,1,64.0
ID0327,Greg,Payment related,0,97.0,4.0,2021-01-06 16:22:05,1,118.0
ID0328,Jim,Streaming,1,47.0,3.0,2021-01-06 16:22:05,1,109.0
ID0329,Dan,Streaming,1,53.0,3.0,2021-01-06 16:27:50,1,103.0
ID0330,Dan,Contract related,0,,,2021-01-06 16:27:50,0,
ID0331,Martha,Payment related,0,,,2021-01-06 16:35:02,0,
